"id";"category_short_desc";"category_long_desc"
1;"Medikal - Tibbi Ceviri";"Medikal - Tibbi Ceviri"
2;"Hukuki Ceviri";"Hukuki Ceviri"
3;"Ticari Ceviri";"Ticari Ceviri"
4;"Turizm Cevirisi";"Turizm Cevirisi"
5;"Finans Cevirisi";"Finans Cevirisi"
6;"Sigorta Cevirisi";"Sigorta Cevirisi"
7;"Genel teknik Ceviri";"Genel teknik Ceviri"
8;"Pazarlama belgeleri Cevirisi";"Pazarlama belgeleri Cevirisi"
9;"Kullanim kilavuzlari Cevirisi";"Kullanim kilavuzlari Cevirisi"
10;"Web sitesi Cevirisi";"Web sitesi Cevirisi"
11;"Ticari belgelerin Cevirisi";"Ticari belgelerin Cevirisi"
12;"Tez/Makalelerin Cevirisi";"Tez/Makalelerin Cevirisi"
13;"Teknik kullanim kilavuzu ve rehberlerin Cevirisi";"Teknik kullanim kilavuzu ve rehberlerin Cevirisi"
14;"İhale evraklari ve sartnamelerin Cevirisi";"İhale evraklari ve sartnamelerin Cevirisi"
15;"Mevzuat ve yasa Cevirileri";"Mevzuat ve yasa Cevirileri"
16;"Vize evraklari Cevirisi";"Vize evraklari Cevirisi"
17;"Gazete haberleri Cevirisi";"Gazete haberleri Cevirisi"
18;"Matematik ve bilgisayar bilimler Cevirisi";"Matematik ve bilgisayar bilimler Cevirisi"
19;"Fiziki bilimler Cevirisi";"Fiziki bilimler Cevirisi"
20;"Kimya bilimler Cevirisi";"Kimya bilimler Cevirisi"
21;"Dunya ve iliskili Cevre bilimleri Cevirisi";"Dunya ve iliskili Cevre bilimleri Cevirisi"
22;"Biyoloji bilimleri Cevirisi";"Biyoloji bilimleri Cevirisi"
23;"Diger doga bilimleri Cevirisi";"Diger doga bilimleri Cevirisi"
24;"İnsaat Muhendisligi Cevirisi";"İnsaat Muhendisligi Cevirisi"
25;"Elektrik muhendisligi Cevirisi";"Elektrik muhendisligi Cevirisi"
26;"Elektronik Cevirisi";"Elektronik Cevirisi"
27;"Kimya Cevirisi";"Kimya Cevirisi"
28;"Havacilik ve Uzay Cevirisi";"Havacilik ve Uzay Cevirisi"
29;"Mekanik Cevirisi";"Mekanik Cevirisi"
30;"Metalurji ve malzeme muhendisligi Cevirisi";"Metalurji ve malzeme muhendisligi Cevirisi"
31;"Orman urunleri Cevirisi";"Orman urunleri Cevirisi"
32;"Jeodezi Cevirisi";"Jeodezi Cevirisi"
33;"Sistem Analizi Cevirisi";"Sistem Analizi Cevirisi"
34;"Madencilik Cevirisi";"Madencilik Cevirisi"
35;"Tekstil teknolojisi Cevirisi";"Tekstil teknolojisi Cevirisi"
36;"Tarim ve Ormancilik Cevirisi";"Tarim ve Ormancilik Cevirisi"
37;"Balikcilik ve iliskili bilimler Cevirisi";"Balikcilik ve iliskili bilimler Cevirisi"
38;"Ziraat Cevirisi";"Ziraat Cevirisi"
39;"Hayvancilik Cevirisi";"Hayvancilik Cevirisi"
40;"Balikcilik Cevirisi";"Balikcilik Cevirisi"
41;"Veterinerlik Cevirisi";"Veterinerlik Cevirisi"
42;"Psikoloji Cevirisi";"Psikoloji Cevirisi"
43;"Ekonomi Cevirisi";"Ekonomi Cevirisi"
44;"Egitim bilimleri Cevirisi";"Egitim bilimleri Cevirisi"
45;"Antropoloji ve Etnoloji Cevirisi";"Antropoloji ve Etnoloji Cevirisi"
46;"Demografi Cevirisi";"Demografi Cevirisi"
47;"Cografya (beseri, ekonomik, sosyal) Cevirisi";"Cografya (beseri, ekonomik, sosyal) Cevirisi"
48;"Şehir planlamasi ve kirsal planlama Cevirisi";"Şehir planlamasi ve kirsal planlama Cevirisi"
49;"Yunetim Cevirisi";"Yunetim Cevirisi"
50;"Hukuk Cevirisi";"Hukuk Cevirisi"
51;"Dilbilimi Cevirisi";"Dilbilimi Cevirisi"
52;"Siyasal bilimler Cevirisi";"Siyasal bilimler Cevirisi"
53;"Sosyoloji Cevirisi";"Sosyoloji Cevirisi"
54;"Organizasyon ve Yuntemler Cevirisi";"Organizasyon ve Yuntemler Cevirisi"
55;"Diger Sosyal Bilimler Cevirisi";"Diger Sosyal Bilimler Cevirisi"
56;"Tarih Cevirisi";"Tarih Cevirisi"
57;"Yan tarih bilim dallariyla birlikte tarih Cevirisi";"Yan tarih bilim dallariyla birlikte tarih Cevirisi"
58;"Felsefe (bilim ve teknoloji tarihi de dahil) Cevirisi";"Felsefe (bilim ve teknoloji tarihi de dahil) Cevirisi"
59;"Sanat Tarihi Cevirisi";"Sanat Tarihi Cevirisi"
60;"Muzik Bilimi Cevirisi";"Muzik Bilimi Cevirisi"
61;"Diger Beseri Bilimler Cevirisi";"Diger Beseri Bilimler Cevirisi"
